ID,Location,Name,Category,Price,Rooms,Baths,Measurement,Type,Condition,Wages
1,Calidonia,WHITE,Sale,250000,2,2,119,Apartment,2,4551
2,Calidonia,H2O,Sale,589000,3,3,405,Apartment,1,7915
3,Calidonia,WHITE,Sale,338000,3,3,169,Apartment,2,6825
4,Bella Vista,RIVAGE,Sale,390000,2,2,177,Apartment,2,7019
5,Bella Vista,WATERS ON THE BAY,Rental,370000,2,2,122,Apartment,2,5862
6,Calidonia,BAYFRONT,Sale,215000,1,1,100,Apartment,2,3692
7,Calidonia,LA ENSENADA,Rental,360000,3,3,194,Apartment,2,2949
8,Bella Vista,RIVAGE,Rental,550000,2,2,169,Apartment,2,4754
9,Bella Vista,MIRAMAR TORRE 2,Sale,1500000,3,3,750,Apartment,1,8657
10,Calidonia,MIRAMAR PLAZA,Sale,1500000,3,4,600,Apartment,1,3978
11,Bella Vista,RIVAGE,Sale,950000,3,3,347,Apartment,1,7353
12,Bella Vista,ARTS & YOO,Sale,1080000,3,3,316,Apartment,1,7495
13,Bella Vista,MIRAMAR TORRE 2,Sale,800000,3,3,375,Apartment,1,9985
14,Bella Vista,MIRAMAR TORRE 2,Sale,900000,3,3,375,Apartment,1,6386
15,Bella Vista,WATERS ON THE BAY,Rental,390000,2,2,123,Apartment,2,3294
16,Bella Vista,YOO,Rental,650000,2,2,180,Apartment,1,3220
17,Calidonia,BAYFRONT TOWER,Sale,220000,1,1,87,Apartment,2,6602
18,Bella Vista,YOO,Sale,295000,1,1,94,Apartment,2,4380
19,Bella Vista,YOO,Sale,550000,2,2,176,Apartment,2,8440
20,Ancón,YACHT CLUB,Sale,420000,2,2,152,Apartment,1,4906
21,Ancón,YACHT CLUB,Rental,500000,3,2,179,Apartment,1,6222
22,Bella Vista,RIVAGE,Sale,360000,1,2,150,Apartment,2,8123
23,Calidonia,WATERS ON THE BAY,Sale,690000,3,3,269,Apartment,2,5031
24,Calidonia,WHITE,Rental,280000,1,1,121,Apartment,2,8321
25,Bella Vista,MIRAMAR TORRE 2,Rental,900000,3,3,375,Apartment,1,4118
26,Calidonia,WHITE,Sale,280000,2,2,119,Apartment,2,2688
27,San Francisco,Apartamento JW Marriott,Sale,395000,1,1,130,Apartment,2,6567
28,"Punta Pacifica, San francisco",OCEANAIRE,Sale,218000,1,1,95,Apartment,2,7717
29,"Punta Pacifica, San francisco",PH Oasis on the Bay,Sale,225000,2,1,199,Apartment,2,5052
30,"Punta Pacifica, San francisco",ROYAL PACIFIC,Sale,260000,3,2,144,Apartment,2,7364
31,"Punta Pacifica, San francisco",Aquamare 29-B,Sale,850000,3,3,356,Apartment,1,6924
32,"Punta Pacifica, San francisco",COURTYARD VIEW,Sale,225000,2,2,160,Apartment,2,8780
33,"Punta Pacifica, San francisco",AQUALINA,Sale,749000,3,3,381,Apartment,1,9810
34,"Punta Pacifica, San francisco",DUPONT TOWER,Sale,420000,2,2,250,Apartment,1,9026
35,"Punta Pacifica, San francisco",MYSTIC POINT,Rental,450000,3,3,217,Apartment,1,4251
36,"Punta Pacifica, San francisco",MYSTIC POINT T100,Rental,315000,3,3,180,Apartment,2,8042
