area_type,availability,location,size,society,total_sqft,bath,room,price
Super built-up Area,Sale,Calidonia,2 BHK,WHITE,1281,2,2,250000
Built-up Area,Sale,Calidonia,4 Bedroom,H2O,4359,3,3,589000
Plot Area,Sale,Calidonia,3 BHK,WHITE,1819,3,3,338000
Super built-up Area,Sale,Bella Vista,2 BHK,RIVAGE,1905,2,2,390000
Super built-up Area,Rental,Bella Vista,4 Bedroom,WATERS ON THE BAY,1313,2,2,370000
Super built-up Area,Sale,Calidonia,3 BHK,BAYFRONT,1076,1,1,215000
Super built-up Area,Rental,Calidonia,2 BHK,LA ENSENADA,2088,3,3,360000
Super built-up Area,Rental,Bella Vista,4 Bedroom,RIVAGE,1819,2,2,550000
Super built-up Area,Sale,Bella Vista,3 BHK,MIRAMAR TORRE 2,8073,3,3,1500000
Super built-up Area,Sale,Calidonia,2 BHK,MIRAMAR PLAZA,6458,4,3,1500000
Super built-up Area,Sale,Bella Vista,4 Bedroom,RIVAGE,3735,3,3,950000
Super built-up Area,Sale,Bella Vista,3 BHK,ARTS & YOO,3401,3,3,1080000
Super built-up Area,Sale,Bella Vista,2 BHK,MIRAMAR TORRE 2,4036,3,3,800000
Super built-up Area,Sale,Bella Vista,4 Bedroom,MIRAMAR TORRE 2,4036,3,3,900000
Super built-up Area,Rental,Bella Vista,3 BHK,WATERS ON THE BAY,1324,2,2,390000
Super built-up Area,Rental,Bella Vista,2 BHK,YOO,1938,2,2,650000
Super built-up Area,Sale,Calidonia,4 Bedroom,BAYFRONT TOWER,936,1,1,220000
Super built-up Area,Sale,Bella Vista,3 BHK,YOO,1012,1,1,295000
Super built-up Area,Sale,Bella Vista,2 BHK,YOO,1894,2,2,550000
Super built-up Area,Sale,Ancón,4 Bedroom,YACHT CLUB,1636,2,2,420000
Super built-up Area,Rental,Ancón,3 BHK,YACHT CLUB,1927,2,3,500000
Super built-up Area,Sale,Bella Vista,2 BHK,RIVAGE,1615,2,1,360000
Super built-up Area,Sale,Calidonia,4 Bedroom,WATERS ON THE BAY,2895,3,3,690000
Super built-up Area,Rental,Calidonia,3 BHK,WHITE,1302,1,1,280000
Super built-up Area,Rental,Bella Vista,2 BHK,MIRAMAR TORRE 2,4036,3,3,900000
Super built-up Area,Sale,Calidonia,4 Bedroom,WHITE,1281,2,2,280000
Super built-up Area,Sale,San Francisco,3 BHK,Apartamento JW Marriott,1399,1,1,395000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,OCEANAIRE,1022 - 1237,1,1,218000
Super built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,PH Oasis on the Bay,2142,1,2,225000
Super built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,ROYAL PACIFIC,1550,2,3,260000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,Aquamare 29-B,3832,3,3,850000
Super built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,COURTYARD VIEW,1722,2,2,225000
Super built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,AQUALINA,4101,3,3,749000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,DUPONT TOWER,2691,2,2,420000
Super built-up Area,Rental,"Punta Pacifica, San francisco",4 Bedroom,MYSTIC POINT,2336,3,3,450000
Super built-up Area,Rental,"Punta Pacifica, San francisco",3 BHK,MYSTIC POINT T100,1938,3,3,315000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,Punta Roca,5662,4,4,1000000
